файл,раздел,вид,строки,текст
hero-scene.html,загрузчик-моделей,строка,2082,В FBX нет геометрии
hero-scene.html,загрузчик-моделей,строка,2078,В модели нет геометрии
hero-scene.html,загрузчик-моделей,строка,2074,В файле нет геометрии
hero-scene.html,загрузчик-моделей,строка,1985,Модель дала
hero-scene.html,загрузчик-моделей,строка,2067,Не удалось подгрузить загрузчик
hero-scene.html,загрузчик-моделей,строка,2079,Не удалось разобрать GLB/GLTF
hero-scene.html,загрузчик-моделей,строка,2084,Ошибка загрузки модели:
hero-scene.html,загрузчик-моделей,строка,2065,"Поддерживаются .glb, .gltf, .obj, .fbx"
hero-scene.html,загрузчик-моделей,строка,1985,точек — на слабом устройстве может тормозить
hero-scene.html,игра-HUD,строка,5899,БРЕЮЩИЙ ПОЛЁТ · +2
hero-scene.html,игра-HUD,строка,1434,ВЕДИ ПАЛЬЦЕМ ПО ЭКРАНУ
hero-scene.html,игра-HUD,шаблон,1527,Ведите пальцем по экрану
hero-scene.html,игра-HUD,строка,4163,ЗОЛОТАЯ НИТЬ ЦЕЛИКОМ · +200
hero-scene.html,игра-HUD,строка,5789,КАНЬОНЫ ВПЕРЕДИ
hero-scene.html,игра-HUD,строка,6265,КМ/Ч
hero-scene.html,игра-HUD,строка,1529,КРЕСТИК СЛЕВА ВВЕРХУ — ВЕРНУТЬСЯ В ПОРТФОЛИО
hero-scene.html,игра-HUD,строка,6017,М
hero-scene.html,игра-HUD,строка,827 6017,ОПАСНОСТЬ ·
hero-scene.html,игра-HUD,строка,5789,ПОЯС АСТЕРОИДОВ
hero-scene.html,игра-HUD,строка,5868,РЕДКАЯ ЭНЕРГИЯ · +
hero-scene.html,игра-HUD,строка,5869,СЕРИЯ ×
hero-scene.html,игра-HUD,строка,5835,СКВОЗЬ КОЛЬЦО · +5 · УСКОРЕНИЕ
hero-scene.html,игра-HUD,шаблон,1527,— корабль повторяет движение
hero-scene.html,отладка,шаблон,7455,(открыть с лендинга)
hero-scene.html,отладка,подстановка,3450,DPR ${qDpr.toFixed(2)} · плотн. ${(qScale * 100 | 0)}%
