строка,slug,title,sub
6677,industry-rf,Промышленность РФ,Вижу · Деп. промышленности · 2023
6678,airports,Аэропорты России,Форум «Россия» · 2023
6679,odk-oak,ОДК ОАК,МАКС · 2021
6680,proryv,Прорыв,Росатом · 2024
6681,rostec,Ростех-Экспо,Ростех · 2021
6682,ptk-group,PTK Group,Группа ПТК · 2019
6683,mig2019,Стенд МИГ-35,РСК «МИГ» · МАКС 2019
6684,bmwx5,BMW X5,BMW China · 2016
6685,pano360,Панорама 360,Москва-Сити · 2018
6686,urban-forum-2018,Urban Forum 2018,Правительство Москвы · 2018
6687,stalingrad,Пароль победы «Сталинград»,Музей-заповедник · 2018
6688,coalco,Сухой порт COALCO,Coalco · 2016
6689,sinara,Синара ТМ,Холдинг СТМ · 2018
6690,vdnh-space,ВДНХ Космос,ВДНХ · 2018
6691,vdnh-space-center,Космонавтика и авиация,ВДНХ · 2016
